,id,type,name,canonical,cached_count,merger_id
129553,205859,Fandom,The Walking Dead (TV),True,20572,
355386,578887,Fandom,Captain America - All Media Types,True,20454,
8558540,32833447,Fandom,Spider-Man (Tom Holland Movies),True,20416,
2217991,6637939,Fandom,Hamilton - Miranda,True,20136,
182,203,Fandom,Torchwood,True,19829,
829336,1197580,Fandom,Steven Universe (Cartoon),True,19483,
549894,830505,Fandom,Phandom/The Fantastic Foursome (YouTube RPF),True,19316,
198088,299357,Fandom,Wiedźmin | The Witcher - All Media Types,True,19199,
23012,29577,Fandom,Star Wars Prequel Trilogy,True,19166,
151,169,Fandom,My Chemical Romance,True,18656,
3423,4182,Fandom,Kingdom Hearts,False,18637,43473721.0
40155,55873,Fandom,Fairy Tail,True,18340,
1925322,5406982,Fandom,Critical Role (Web Series),True,18292,
158261,244259,Fandom,Katekyou Hitman Reborn!,True,18145,
100201,145124,Fandom,The Lord of the Rings - J. R. R. Tolkien,True,17891,
254992,448284,Fandom,Pocket Monsters | Pokemon - All Media Types,True,17829,
148304,230931,Fandom,The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien,True,17548,
6265,7653,Fandom,The Avengers,False,17221,586437.0
583163,873394,Fandom,The Hobbit (Jackson Movies),True,17071,
159116,245573,Fandom,Shameless (US),True,17013,
147263,229522,Fandom,Dragon Age II,True,16965,
2454742,7625681,Fandom,Fantastic Beasts and Where to Find Them (Movies),True,16633,
10665,13253,Fandom,Bandom,True,16425,
35576,49548,Fandom,Mass Effect,False,16245,15764730.0
151831,235690,Fandom,Fire Emblem Series,True,15888,
704622,1034737,Fandom,逆転裁判 | Gyakuten Saiban | Ace Attorney,True,15746,
1446377,3352745,Fandom,Daredevil (TV),True,15598,
90420,130725,Fandom,Inception (2010),True,15498,
1121014,2007008,Fandom,A Song of Ice and Fire & Related Fandoms,True,15457,
93193,134900,Fandom,IT - Stephen King,True,15319,
1226,1464,Fandom,Star Trek: The Original Series,True,15212,
418140,658827,Fandom,Percy Jackson and the Olympians & Related Fandoms - All Media Types,True,15207,
3454391,11812534,Fandom,The Magnus Archives (Podcast),True,15144,
7781776,29744003,Fandom,The Umbrella Academy (TV),True,15102,
168,187,Fandom,Smallville,True,14993,
164551,253298,Fandom,X-Men: First Class (2011) - Fandom,False,14822,9830863.0
3657804,12642079,Fandom,Riverdale (TV 2017),True,14587,
3215578,10801369,Fandom,Spider-Man: Homecoming (2017),False,14249,32833447.0
1028528,1634572,Fandom,The 100,False,14133,1635478.0
481465,741433,Fandom,The Lord of the Rings - All Media Types,True,13913,
72671,105122,Fandom,K-pop,True,13809,
3477405,11902568,Fandom,New Dangan Ronpa V3: Everyone's New Semester of Killing,True,13803,
285,337,Fandom,due South,True,13791,
7283655,27749851,Fandom,She-Ra and the Princesses of Power (2018),True,13746,
1869050,5171863,Fandom,DC's Legends of Tomorrow (TV),True,13544,
113988,166591,Fandom,Avatar: Legend of Korra,True,13511,
190510,289604,Fandom,Marvel (Comics),True,13490,
11127149,42817852,Fandom,原神 | Genshin Impact (Video Game),True,13440,
7819132,29890172,Fandom,The Witcher (TV),True,13290,
236,273,Fandom,The Sentinel,False,13227,41796.0
162273,250093,Fandom,X-Men - All Media Types,True,13206,
27008,35537,Fandom,South Park,True,13125,
791170,1147379,Fandom,Check Please! (Webcomic),True,12947,
615349,915695,Fandom,haikyuu,False,12852,758208.0
5716,6943,Fandom,Real Person Fiction,True,12753,
72891,105412,Fandom,Doctor Who & Related Fandoms,True,12691,
458386,711325,Fandom,Final Fantasy XIV,True,12603,
1827901,4997791,Fandom,Monsta X (Band),True,12572,
4878377,17792625,Fandom,Criminal Minds (US TV),True,12572,
4366,5280,Fandom,Leverage,True,12484,
8290,10223,Fandom,World Wrestling Entertainment,True,12451,
143440,224545,Fandom,The Heroes of Olympus - Rick Riordan,True,12228,
18181,22959,Fandom,Hunter X Hunter,True,12226,
2571800,8114503,Fandom,Lucifer (TV),True,12056,
4322,5224,Fandom,Football RPF,False,12054,26034884.0
3446,4215,Fandom,Medium,False,11997,788628.0
7188267,27339989,Fandom,声入人心 | Super-Vocal (TV),True,11961,
326229,541437,Fandom,Rise of the Guardians (2012),True,11955,
2107,2428,Fandom,Fall Out Boy,True,11945,
22329,28642,Fandom,Dragon Age: Origins,True,11886,
10824,13438,Fandom,White Collar,False,11876,49875869.0
797,934,Fandom,Angel: the Series,True,11455,
79323,114961,Fandom,The Hobbit - J. R. R. Tolkien,True,11451,
6724,8210,Fandom,Final Fantasy VII,False,11410,41561815.0
8998727,34555820,Fandom,IT (Movies - Muschietti),True,11276,
515453,785436,Fandom,Rooster Teeth/Achievement Hunter RPF,True,11196,
1198743,2312580,Fandom,All For The Game - Nora Sakavic,True,11191,
383388,613602,Fandom,James Bond (Craig movies),True,11163,
23011,29576,Fandom,Star Wars Original Trilogy,True,11109,
1316976,2818614,Fandom,Gotham (TV),True,11080,
967682,1387845,Fandom,The Legend of Zelda & Related Fandoms,True,10981,
470260,726906,Fandom,The Transformers (IDW Generation One),True,10907,
41398,57398,Fandom,Dragon Age,False,10899,827055.0
2893667,9437596,Fandom,The Adventure Zone (Podcast),True,10898,
107261,155456,Fandom,Kuroshitsuji | Black Butler,True,10897,
545527,824702,Fandom,Fullmetal Alchemist: Brotherhood & Manga,True,10884,
458155,711035,Fandom,Super Dangan Ronpa 2,True,10747,
1349232,2954180,Fandom,Fullmetal Alchemist - All Media Types,True,10727,
1933161,5437936,Fandom,Fallout 4,True,10629,
15824,19877,Fandom,Dragon Ball,True,10609,
24752,32045,Fandom,The Vampire Diaries (TV),True,10575,
189147,287761,Fandom,Person of Interest (TV),True,10571,
138545,218129,Fandom,Young Justice (Cartoon),True,10547,
10613,13184,Fandom,InuYasha - A Feudal Fairy Tale,True,10514,
15320,19234,Fandom,?,False,10452,130675.0
12338,15322,Fandom,Formula 1 RPF,True,10285,
99849,144615,Fandom,Red vs. Blue,True,10283,
5620324,20963328,Fandom,9-1-1 (TV),True,10263,
2773,3409,Fandom,Star Trek: Voyager,True,10261,
2194614,6540290,Fandom,Undertale,False,10228,6541412.0
7816841,29881298,Fandom,人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,True,10202,
